day,hour,loc,scale,tailweight,skewness
0,0,104.47652435302734,19.471498489379883,1.0000005960464478,0.06815910339355469
0,1,96.02149963378906,23.523845672607422,1.0005176067352295,0.002435840666294098
0,2,90.33575439453125,22.67731475830078,1.0,0.08228599280118942
0,3,87.46495056152344,27.873432159423828,1.007796049118042,0.04054805263876915
0,4,87.76152038574219,26.672428131103516,1.0000009536743164,0.04091814160346985
0,5,99.95437622070312,27.74712562561035,1.0,-0.026975244283676147
0,6,123.8165054321289,30.159942626953125,1.0000030994415283,-0.100186787545681
0,7,150.8688507080078,24.618183135986328,1.014396071434021,-0.400434672832489
0,8,163.12294006347656,24.537229537963867,1.000432014465332,-0.4355214834213257
0,9,156.49063110351562,23.61021614074707,1.0000003576278687,-0.295142263174057
0,10,138.11204528808594,27.580310821533203,1.0195270776748657,-0.14051766693592072
0,11,125.81583404541016,32.2244873046875,1.002426028251648,-0.07504375278949738
0,12,119.60118865966797,28.337800979614258,1.0253527164459229,0.04637322574853897
0,13,117.60781860351562,29.903724670410156,1.0001165866851807,-0.04298005253076553
0,14,120.09666442871094,29.61736297607422,1.0,-0.2199670821428299
0,15,130.23252868652344,29.2114200592041,1.0000956058502197,-0.19609564542770386
0,16,143.87130737304688,25.361467361450195,1.0000078678131104,-0.33306649327278137
0,17,178.27273559570312,29.643871307373047,1.0044870376586914,-0.32896193861961365
0,18,188.838623046875,26.6815185546875,1.000001072883606,-0.5939761400222778
0,19,185.13287353515625,30.383426666259766,1.0110538005828857,-0.6787181496620178
0,20,165.76165771484375,25.976322174072266,1.0000008344650269,-0.598065972328186
0,21,150.13134765625,24.548038482666016,1.0000945329666138,-0.4992937445640564
0,22,145.52696228027344,25.087255477905273,1.0000008344650269,-0.47737276554107666
0,23,128.2688751220703,28.63050079345703,1.0,-0.5763593912124634
1,0,120.15476989746094,29.23792266845703,1.0154173374176025,-0.014638908207416534
1,1,113.06261444091797,24.222620010375977,1.0000032186508179,-0.02109619230031967
1,2,109.61225128173828,30.26760482788086,1.0075833797454834,-0.012423574924468994
1,3,102.66695404052734,24.744380950927734,1.00055992603302,0.2142295241355896
1,4,101.61012268066406,27.16263198852539,1.0,0.16732026636600494
1,5,113.38967895507812,33.062095642089844,1.0683660507202148,0.220102459192276
