"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2020 11:15 - 01.01.2020 11:30","50851","46545"
"01.01.2020 11:30 - 01.01.2020 11:45","51380","46947"
"01.01.2020 11:45 - 01.01.2020 12:00","51582","47153"
"01.01.2020 12:00 - 01.01.2020 12:15","51473","47838"
"01.01.2020 12:15 - 01.01.2020 12:30","51150","48105"
"01.01.2020 12:30 - 01.01.2020 12:45","50890","48077"
"01.01.2020 12:45 - 01.01.2020 13:00","50716","47936"
"01.01.2020 13:00 - 01.01.2020 13:15","50302","47968"
"01.01.2020 13:15 - 01.01.2020 13:30","49798","47774"
"01.01.2020 13:30 - 01.01.2020 13:45","49523","47701"
"01.01.2020 13:45 - 01.01.2020 14:00","49098","47450"
"01.01.2020 14:00 - 01.01.2020 14:15","48946","46650"
"01.01.2020 14:15 - 01.01.2020 14:30","48781","46302"
"01.01.2020 14:30 - 01.01.2020 14:45","48504","45802"
"01.01.2020 14:45 - 01.01.2020 15:00","48479","45779"
"01.01.2020 15:00 - 01.01.2020 15:15","48854","46165"
"01.01.2020 15:15 - 01.01.2020 15:30","48536","46074"
"01.01.2020 15:30 - 01.01.2020 15:45","48733","46254"
"01.01.2020 15:45 - 01.01.2020 16:00","48700","46608"
"01.01.2020 16:00 - 01.01.2020 16:15","49127","47337"
"01.01.2020 16:15 - 01.01.2020 16:30","49297","48190"
"01.01.2020 16:30 - 01.01.2020 16:45","50084","49652"
"01.01.2020 16:45 - 01.01.2020 17:00","50884","51100"
"01.01.2020 17:00 - 01.01.2020 17:15","52159","52361"
"01.01.2020 17:15 - 01.01.2020 17:30","52809","52832"
"01.01.2020 17:30 - 01.01.2020 17:45","53306","53339"
"01.01.2020 17:45 - 01.01.2020 18:00","53767","53659"
"01.01.2020 18:00 - 01.01.2020 18:15","54286","54077"
"01.01.2020 18:15 - 01.01.2020 18:30","54622","53902"
"01.01.2020 18:30 - 01.01.2020 18:45","54395","53983"
"01.01.2020 18:45 - 01.01.2020 19:00","54295","53530"
"01.01.2020 19:00 - 01.01.2020 19:15","54429","53448"
"01.01.2020 19:15 - 01.01.2020 19:30","53969","52768"
"01.01.2020 19:30 - 01.01.2020 19:45","53733","52458"
"01.01.2020 19:45 - 01.01.2020 20:00","53439","51869"
"01.01.2020 20:00 - 01.01.2020 20:15","52971","51415"
"01.01.2020 20:15 - 01.01.2020 20:30","52392","50859"
"01.01.2020 20:30 - 01.01.2020 20:45","51998","50167"
"01.01.2020 20:45 - 01.01.2020 21:00","51564","49627"
"01.01.2020 21:00 - 01.01.2020 21:15","51306","49453"
"01.01.2020 21:15 - 01.01.2020 21:30","50967","49136"
"01.01.2020 21:30 - 01.01.2020 21:45","50678","49144"
"01.01.2020 21:45 - 01.01.2020 22:00","50635","48749"
"01.01.2020 22:00 - 01.01.2020 22:15","51098","49167"
"01.01.2020 22:15 - 01.01.2020 22:30","50669","48639"
"01.01.2020 22:30 - 01.01.2020 22:45","49987","47901"
"01.01.2020 22:45 - 01.01.2020 23:00","49389","47113"
"01.01.2020 23:00 - 01.01.2020 23:15","48568","46370"
"01.01.2020 23:15 - 01.01.2020 23:30","48003","45830"
"01.01.2020 23:30 - 01.01.2020 23:45","47252","45047"
"01.01.2020 23:45 - 02.01.2020 00:00","46545","44396"
"02.01.2020 00:00 - 02.01.2020 00:15","46904","44350"
"02.01.2020 00:15 - 02.01.2020 00:30","46028","44181"
"02.01.2020 00:30 - 02.01.2020 00:45","45637","43967"
"02.01.2020 00:45 - 02.01.2020 01:00","45270","43389"
"02.01.2020 01:00 - 02.01.2020 01:15","44748","42915"
"02.01.2020 01:15 - 02.01.2020 01:30","44539","42602"
"02.01.2020 01:30 - 02.01.2020 01:45","44257","42332"
"02.01.2020 01:45 - 02.01.2020 02:00","43938","42299"
"02.01.2020 02:00 - 02.01.2020 02:15","43877","42100"
"02.01.2020 02:15 - 02.01.2020 02:30","44049","41859"
"02.01.2020 02:30 - 02.01.2020 02:45","44087","41884"
"02.01.2020 02:45 - 02.01.2020 03:00","44052","41834"
"02.01.2020 03:00 - 02.01.2020 03:15","44179","42042"
"02.01.2020 03:15 - 02.01.2020 03:30","44169","41744"
"02.01.2020 03:30 - 02.01.2020 03:45","44324","41924"
"02.01.2020 03:45 - 02.01.2020 04:00","44548","42164"
"02.01.2020 04:00 - 02.01.2020 04:15","44793","42541"
"02.01.2020 04:15 - 02.01.2020 04:30","45080","42739"
"02.01.2020 04:30 - 02.01.2020 04:45","45374","43286"
"02.01.2020 04:45 - 02.01.2020 05:00","46057","43706"
"02.01.2020 05:00 - 02.01.2020 05:15","47067","44567"
"02.01.2020 05:15 - 02.01.2020 05:30","47618","44892"
"02.01.2020 05:30 - 02.01.2020 05:45","48698","45771"
"02.01.2020 05:45 - 02.01.2020 06:00","50022","46352"
"02.01.2020 06:00 - 02.01.2020 06:15","52522","47832"
"02.01.2020 06:15 - 02.01.2020 06:30","53810","49184"
"02.01.2020 06:30 - 02.01.2020 06:45","55381","50398"
"02.01.2020 06:45 - 02.01.2020 07:00","56691","51836"
"02.01.2020 07:00 - 02.01.2020 07:15","58290","53239"
"02.01.2020 07:15 - 02.01.2020 07:30","59246","54332"
"02.01.2020 07:30 - 02.01.2020 07:45","59909","55384"
"02.01.2020 07:45 - 02.01.2020 08:00","60631","56238"
"02.01.2020 08:00 - 02.01.2020 08:15","61301","57467"
"02.01.2020 08:15 - 02.01.2020 08:30","61347","57774"
"02.01.2020 08:30 - 02.01.2020 08:45","61814","58441"
"02.01.2020 08:45 - 02.01.2020 09:00","62018","59047"
"02.01.2020 09:00 - 02.01.2020 09:15","61965","59677"
"02.01.2020 09:15 - 02.01.2020 09:30","61988","60049"
"02.01.2020 09:30 - 02.01.2020 09:45","62323","60315"
"02.01.2020 09:45 - 02.01.2020 10:00","62385","60456"
"02.01.2020 10:00 - 02.01.2020 10:15","62591","60834"
"02.01.2020 10:15 - 02.01.2020 10:30","62838","60857"
"02.01.2020 10:30 - 02.01.2020 10:45","62602","61241"
"02.01.2020 10:45 - 02.01.2020 11:00","62657","61578"
"02.01.2020 11:00 - 02.01.2020 11:15","62890","61611"
"02.01.2020 11:15 - 02.01.2020 11:30","62977","61855"
"02.01.2020 11:30 - 02.01.2020 11:45","63091","62064"
"02.01.2020 11:45 - 02.01.2020 12:00","63055","62260"
"02.01.2020 12:00 - 02.01.2020 12:15","62970","62368"
"02.01.2020 12:15 - 02.01.2020 12:30","62738","62162"
"02.01.2020 12:30 - 02.01.2020 12:45","62666","62225"
"02.01.2020 12:45 - 02.01.2020 13:00","62538","61982"
"02.01.2020 13:00 - 02.01.2020 13:15","62342","61772"
"02.01.2020 13:15 - 02.01.2020 13:30","62131","61576"
"02.01.2020 13:30 - 02.01.2020 13:45","62044","61252"
"02.01.2020 13:45 - 02.01.2020 14:00","61539","60744"
"02.01.2020 14:00 - 02.01.2020 14:15","61542","60563"
"02.01.2020 14:15 - 02.01.2020 14:30","61436","60494"
"02.01.2020 14:30 - 02.01.2020 14:45","61252","60345"
"02.01.2020 14:45 - 02.01.2020 15:00","61207","60089"
"02.01.2020 15:00 - 02.01.2020 15:15","61221","60396"
"02.01.2020 15:15 - 02.01.2020 15:30","61110","60338"
"02.01.2020 15:30 - 02.01.2020 15:45","61151","60433"
"02.01.2020 15:45 - 02.01.2020 16:00","60786","60626"
"02.01.2020 16:00 - 02.01.2020 16:15","61102","61122"
"02.01.2020 16:15 - 02.01.2020 16:30","61192","61746"
"02.01.2020 16:30 - 02.01.2020 16:45","61731","62587"
"02.01.2020 16:45 - 02.01.2020 17:00","62476","63709"
"02.01.2020 17:00 - 02.01.2020 17:15","63403","64738"
"02.01.2020 17:15 - 02.01.2020 17:30","63718","65115"
"02.01.2020 17:30 - 02.01.2020 17:45","63921","65468"
"02.01.2020 17:45 - 02.01.2020 18:00","64045","65619"
"02.01.2020 18:00 - 02.01.2020 18:15","63979","65554"
"02.01.2020 18:15 - 02.01.2020 18:30","63759","65485"
"02.01.2020 18:30 - 02.01.2020 18:45","63652","65306"
"02.01.2020 18:45 - 02.01.2020 19:00","63359","65092"
"02.01.2020 19:00 - 02.01.2020 19:15","63188","64685"
"02.01.2020 19:15 - 02.01.2020 19:30","62466","64212"
"02.01.2020 19:30 - 02.01.2020 19:45","62124","63859"
"02.01.2020 19:45 - 02.01.2020 20:00","61676","63248"
"02.01.2020 20:00 - 02.01.2020 20:15","60637","62050"
"02.01.2020 20:15 - 02.01.2020 20:30","59554","60542"
"02.01.2020 20:30 - 02.01.2020 20:45","58848","59651"
"02.01.2020 20:45 - 02.01.2020 21:00","58075","58862"
"02.01.2020 21:00 - 02.01.2020 21:15","57452","58129"
"02.01.2020 21:15 - 02.01.2020 21:30","56771","57826"
"02.01.2020 21:30 - 02.01.2020 21:45","56092","57102"
"02.01.2020 21:45 - 02.01.2020 22:00","55790","56782"
"02.01.2020 22:00 - 02.01.2020 22:15","55438","56925"
"02.01.2020 22:15 - 02.01.2020 22:30","54792","56156"
"02.01.2020 22:30 - 02.01.2020 22:45","53998","55102"
"02.01.2020 22:45 - 02.01.2020 23:00","53200","54285"
"02.01.2020 23:00 - 02.01.2020 23:15","52437","53424"
"02.01.2020 23:15 - 02.01.2020 23:30","51489","52467"
"02.01.2020 23:30 - 02.01.2020 23:45","50711","51644"
"02.01.2020 23:45 - 03.01.2020 00:00","50152","51033"
"03.01.2020 00:00 - 03.01.2020 00:15","50291","49925"
"03.01.2020 00:15 - 03.01.2020 00:30","50034","49194"
"03.01.2020 00:30 - 03.01.2020 00:45","49590","49081"
"03.01.2020 00:45 - 03.01.2020 01:00","49060","48420"
"03.01.2020 01:00 - 03.01.2020 01:15","48488","48165"
"03.01.2020 01:15 - 03.01.2020 01:30","48046","47712"
"03.01.2020 01:30 - 03.01.2020 01:45","47836","47615"
"03.01.2020 01:45 - 03.01.2020 02:00","47487","47234"
"03.01.2020 02:00 - 03.01.2020 02:15","47199","47322"
"03.01.2020 02:15 - 03.01.2020 02:30","47277","46808"
"03.01.2020 02:30 - 03.01.2020 02:45","47038","46812"
"03.01.2020 02:45 - 03.01.2020 03:00","47090","46693"
"03.01.2020 03:00 - 03.01.2020 03:15","47031","46730"
"03.01.2020 03:15 - 03.01.2020 03:30","47214","46713"
"03.01.2020 03:30 - 03.01.2020 03:45","47191","46787"
"03.01.2020 03:45 - 03.01.2020 04:00","47556","47007"
"03.01.2020 04:00 - 03.01.2020 04:15","47521","47264"
"03.01.2020 04:15 - 03.01.2020 04:30","47825","47492"
"03.01.2020 04:30 - 03.01.2020 04:45","47902","47904"
"03.01.2020 04:45 - 03.01.2020 05:00","48514","48187"
"03.01.2020 05:00 - 03.01.2020 05:15","49441","48970"
"03.01.2020 05:15 - 03.01.2020 05:30","49587","49362"
"03.01.2020 05:30 - 03.01.2020 05:45","50461","50096"
"03.01.2020 05:45 - 03.01.2020 06:00","51304","50860"
"03.01.2020 06:00 - 03.01.2020 06:15","53572","52148"
"03.01.2020 06:15 - 03.01.2020 06:30","54707","53194"
"03.01.2020 06:30 - 03.01.2020 06:45","56164","54222"
"03.01.2020 06:45 - 03.01.2020 07:00","57198","55216"
"03.01.2020 07:00 - 03.01.2020 07:15","58941","56277"
"03.01.2020 07:15 - 03.01.2020 07:30","59933","57227"
"03.01.2020 07:30 - 03.01.2020 07:45","62123","58447"
"03.01.2020 07:45 - 03.01.2020 08:00","62929","59296"
"03.01.2020 08:00 - 03.01.2020 08:15","63558","60148"
"03.01.2020 08:15 - 03.01.2020 08:30","63530","60678"
"03.01.2020 08:30 - 03.01.2020 08:45","63918","61164"
"03.01.2020 08:45 - 03.01.2020 09:00","64146","61441"
"03.01.2020 09:00 - 03.01.2020 09:15","63724","62070"
"03.01.2020 09:15 - 03.01.2020 09:30","63904","62544"
"03.01.2020 09:30 - 03.01.2020 09:45","64170","63066"
"03.01.2020 09:45 - 03.01.2020 10:00","64150","63212"
"03.01.2020 10:00 - 03.01.2020 10:15","64320","63591"
"03.01.2020 10:15 - 03.01.2020 10:30","64763","63739"
"03.01.2020 10:30 - 03.01.2020 10:45","64430","63837"
"03.01.2020 10:45 - 03.01.2020 11:00","64373","64027"
"03.01.2020 11:00 - 03.01.2020 11:15","64564","64707"
"03.01.2020 11:15 - 03.01.2020 11:30","64658","65065"
"03.01.2020 11:30 - 03.01.2020 11:45","64763","65320"
"03.01.2020 11:45 - 03.01.2020 12:00","64718","65361"
"03.01.2020 12:00 - 03.01.2020 12:15","64621","65452"
"03.01.2020 12:15 - 03.01.2020 12:30","64192","65329"
"03.01.2020 12:30 - 03.01.2020 12:45","64184","65102"
"03.01.2020 12:45 - 03.01.2020 13:00","63975","64786"
"03.01.2020 13:00 - 03.01.2020 13:15","63648","64534"
"03.01.2020 13:15 - 03.01.2020 13:30","63086","64033"
"03.01.2020 13:30 - 03.01.2020 13:45","62578","63793"
"03.01.2020 13:45 - 03.01.2020 14:00","62051","62997"
"03.01.2020 14:00 - 03.01.2020 14:15","61794","63287"
"03.01.2020 14:15 - 03.01.2020 14:30","61690","62787"
"03.01.2020 14:30 - 03.01.2020 14:45","61552","62669"
"03.01.2020 14:45 - 03.01.2020 15:00","61261","62513"
"03.01.2020 15:00 - 03.01.2020 15:15","61287","62432"
"03.01.2020 15:15 - 03.01.2020 15:30","61093","62297"
"03.01.2020 15:30 - 03.01.2020 15:45","61120","62327"
"03.01.2020 15:45 - 03.01.2020 16:00","60904","62180"
"03.01.2020 16:00 - 03.01.2020 16:15","61117","62612"
"03.01.2020 16:15 - 03.01.2020 16:30","61196","62588"
"03.01.2020 16:30 - 03.01.2020 16:45","62019","63320"
"03.01.2020 16:45 - 03.01.2020 17:00","62628","64160"
"03.01.2020 17:00 - 03.01.2020 17:15","63446","65005"
"03.01.2020 17:15 - 03.01.2020 17:30","63812","65160"
"03.01.2020 17:30 - 03.01.2020 17:45","63866","65215"
"03.01.2020 17:45 - 03.01.2020 18:00","63813","65273"
"03.01.2020 18:00 - 03.01.2020 18:15","63802","65354"
"03.01.2020 18:15 - 03.01.2020 18:30","63805","64962"
"03.01.2020 18:30 - 03.01.2020 18:45","63440","64810"
"03.01.2020 18:45 - 03.01.2020 19:00","63048","64494"
"03.01.2020 19:00 - 03.01.2020 19:15","62888","63921"
"03.01.2020 19:15 - 03.01.2020 19:30","62063","63411"
"03.01.2020 19:30 - 03.01.2020 19:45","61701","62839"
"03.01.2020 19:45 - 03.01.2020 20:00","61408","61970"
"03.01.2020 20:00 - 03.01.2020 20:15","60051","60649"
"03.01.2020 20:15 - 03.01.2020 20:30","58997","59727"
"03.01.2020 20:30 - 03.01.2020 20:45","58227","58947"
"03.01.2020 20:45 - 03.01.2020 21:00","57368","57985"
"03.01.2020 21:00 - 03.01.2020 21:15","56625","56882"
"03.01.2020 21:15 - 03.01.2020 21:30","56139","56449"
"03.01.2020 21:30 - 03.01.2020 21:45","55458","55742"
"03.01.2020 21:45 - 03.01.2020 22:00","55168","55154"
"03.01.2020 22:00 - 03.01.2020 22:15","55161","55228"
"03.01.2020 22:15 - 03.01.2020 22:30","54672","54973"
"03.01.2020 22:30 - 03.01.2020 22:45","53989","54256"
"03.01.2020 22:45 - 03.01.2020 23:00","53184","53534"
"03.01.2020 23:00 - 03.01.2020 23:15","52397","52725"
"03.01.2020 23:15 - 03.01.2020 23:30","51569","51872"
"03.01.2020 23:30 - 03.01.2020 23:45","50861","50814"
"03.01.2020 23:45 - 04.01.2020 00:00","50438","50474"
"04.01.2020 00:00 - 04.01.2020 00:15","50946","49980"
"04.01.2020 00:15 - 04.01.2020 00:30","51106","48881"
"04.01.2020 00:30 - 04.01.2020 00:45","50719","48161"
"04.01.2020 00:45 - 04.01.2020 01:00","50356","48136"
"04.01.2020 01:00 - 04.01.2020 01:15","49521","47240"
"04.01.2020 01:15 - 04.01.2020 01:30","49029","46704"
"04.01.2020 01:30 - 04.01.2020 01:45","48990","46140"
"04.01.2020 01:45 - 04.01.2020 02:00","48571","46215"
"04.01.2020 02:00 - 04.01.2020 02:15","48303","46025"
"04.01.2020 02:15 - 04.01.2020 02:30","48090","45488"
"04.01.2020 02:30 - 04.01.2020 02:45","47996","45704"
"04.01.2020 02:45 - 04.01.2020 03:00","47955","45437"
"04.01.2020 03:00 - 04.01.2020 03:15","47893","45259"
"04.01.2020 03:15 - 04.01.2020 03:30","47819","45140"
"04.01.2020 03:30 - 04.01.2020 03:45","47742","45212"
"04.01.2020 03:45 - 04.01.2020 04:00","47767","45498"
"04.01.2020 04:00 - 04.01.2020 04:15","47956","45853"
"04.01.2020 04:15 - 04.01.2020 04:30","48212","45905"
"04.01.2020 04:30 - 04.01.2020 04:45","48276","46288"
"04.01.2020 04:45 - 04.01.2020 05:00","48078","46307"
"04.01.2020 05:00 - 04.01.2020 05:15","48316","46555"
"04.01.2020 05:15 - 04.01.2020 05:30","48123","46670"
"04.01.2020 05:30 - 04.01.2020 05:45","48099","46633"
"04.01.2020 05:45 - 04.01.2020 06:00","48001","46632"
"04.01.2020 06:00 - 04.01.2020 06:15","47778","46651"
"04.01.2020 06:15 - 04.01.2020 06:30","48075","46739"
"04.01.2020 06:30 - 04.01.2020 06:45","48590","47095"
"04.01.2020 06:45 - 04.01.2020 07:00","49052","47750"
"04.01.2020 07:00 - 04.01.2020 07:15","49538","48726"
"04.01.2020 07:15 - 04.01.2020 07:30","49699","49290"
"04.01.2020 07:30 - 04.01.2020 07:45","50743","50428"
"04.01.2020 07:45 - 04.01.2020 08:00","51783","51229"
"04.01.2020 08:00 - 04.01.2020 08:15","52576","52148"
"04.01.2020 08:15 - 04.01.2020 08:30","53603","52573"
"04.01.2020 08:30 - 04.01.2020 08:45","53954","53287"
"04.01.2020 08:45 - 04.01.2020 09:00","54642","54215"
"04.01.2020 09:00 - 04.01.2020 09:15","55335","55366"
"04.01.2020 09:15 - 04.01.2020 09:30","55985","56099"
"04.01.2020 09:30 - 04.01.2020 09:45","56217","56766"
"04.01.2020 09:45 - 04.01.2020 10:00","56207","57539"
"04.01.2020 10:00 - 04.01.2020 10:15","56609","58481"
"04.01.2020 10:15 - 04.01.2020 10:30","56863","58996"
"04.01.2020 10:30 - 04.01.2020 10:45","57091","59432"
"04.01.2020 10:45 - 04.01.2020 11:00","57005","59868"
"04.01.2020 11:00 - 04.01.2020 11:15","57237","60074"
"04.01.2020 11:15 - 04.01.2020 11:30","57651","60646"
"04.01.2020 11:30 - 04.01.2020 11:45","58090","61169"
"04.01.2020 11:45 - 04.01.2020 12:00","58036","61352"
"04.01.2020 12:00 - 04.01.2020 12:15","58139","61368"
"04.01.2020 12:15 - 04.01.2020 12:30","57919","61712"
"04.01.2020 12:30 - 04.01.2020 12:45","57789","61880"
"04.01.2020 12:45 - 04.01.2020 13:00","57544","61412"
"04.01.2020 13:00 - 04.01.2020 13:15","57058","60994"
"04.01.2020 13:15 - 04.01.2020 13:30","56796","60523"
"04.01.2020 13:30 - 04.01.2020 13:45","56418","60099"
"04.01.2020 13:45 - 04.01.2020 14:00","55917","59678"
"04.01.2020 14:00 - 04.01.2020 14:15","55653","59632"
"04.01.2020 14:15 - 04.01.2020 14:30","55397","59502"
"04.01.2020 14:30 - 04.01.2020 14:45","55462","59004"
"04.01.2020 14:45 - 04.01.2020 15:00","55105","58590"
"04.01.2020 15:00 - 04.01.2020 15:15","55344","59025"
"04.01.2020 15:15 - 04.01.2020 15:30","55106","58920"
"04.01.2020 15:30 - 04.01.2020 15:45","55307","58665"
"04.01.2020 15:45 - 04.01.2020 16:00","55542","58677"
"04.01.2020 16:00 - 04.01.2020 16:15","55810","59232"
"04.01.2020 16:15 - 04.01.2020 16:30","55853","59538"
"04.01.2020 16:30 - 04.01.2020 16:45","56968","60199"
"04.01.2020 16:45 - 04.01.2020 17:00","57751","61245"
"04.01.2020 17:00 - 04.01.2020 17:15","58899","61970"
"04.01.2020 17:15 - 04.01.2020 17:30","59422","62708"
"04.01.2020 17:30 - 04.01.2020 17:45","59733","62878"
"04.01.2020 17:45 - 04.01.2020 18:00","60022","63065"
"04.01.2020 18:00 - 04.01.2020 18:15","60426","63124"
"04.01.2020 18:15 - 04.01.2020 18:30","60398","62903"
"04.01.2020 18:30 - 04.01.2020 18:45","60280","62375"
"04.01.2020 18:45 - 04.01.2020 19:00","59784","61850"
"04.01.2020 19:00 - 04.01.2020 19:15","59666","61494"
"04.01.2020 19:15 - 04.01.2020 19:30","59066","60639"
"04.01.2020 19:30 - 04.01.2020 19:45","58607","60025"
"04.01.2020 19:45 - 04.01.2020 20:00","57964","59033"
"04.01.2020 20:00 - 04.01.2020 20:15","56965","58123"
"04.01.2020 20:15 - 04.01.2020 20:30","56185","56975"
"04.01.2020 20:30 - 04.01.2020 20:45","55425","56029"
"04.01.2020 20:45 - 04.01.2020 21:00","54517","55138"
"04.01.2020 21:00 - 04.01.2020 21:15","54216","54586"
"04.01.2020 21:15 - 04.01.2020 21:30","53765","54172"
"04.01.2020 21:30 - 04.01.2020 21:45","53348","53843"
"04.01.2020 21:45 - 04.01.2020 22:00","53172","53232"
"04.01.2020 22:00 - 04.01.2020 22:15","53725","53222"
"04.01.2020 22:15 - 04.01.2020 22:30","53495","52761"
"04.01.2020 22:30 - 04.01.2020 22:45","52860","52033"
"04.01.2020 22:45 - 04.01.2020 23:00","52273","51583"
"04.01.2020 23:00 - 04.01.2020 23:15","51508","50538"
"04.01.2020 23:15 - 04.01.2020 23:30","50869","49806"
"04.01.2020 23:30 - 04.01.2020 23:45","50155","49150"
"04.01.2020 23:45 - 05.01.2020 00:00","49438","48427"
"05.01.2020 00:00 - 05.01.2020 00:15","43426","47254"
"05.01.2020 00:15 - 05.01.2020 00:30","42947","46625"
"05.01.2020 00:30 - 05.01.2020 00:45","42555","46319"
"05.01.2020 00:45 - 05.01.2020 01:00","42267","45744"
"05.01.2020 01:00 - 05.01.2020 01:15","41272","44848"
"05.01.2020 01:15 - 05.01.2020 01:30","41121","44301"
"05.01.2020 01:30 - 05.01.2020 01:45","40744","44083"
"05.01.2020 01:45 - 05.01.2020 02:00","40646","43931"
"05.01.2020 02:00 - 05.01.2020 02:15","40433","44044"
"05.01.2020 02:15 - 05.01.2020 02:30","40315","43902"
"05.01.2020 02:30 - 05.01.2020 02:45","40036","43566"
"05.01.2020 02:45 - 05.01.2020 03:00","40065","43222"
"05.01.2020 03:00 - 05.01.2020 03:15","39846","43003"
"05.01.2020 03:15 - 05.01.2020 03:30","39825","42852"
"05.01.2020 03:30 - 05.01.2020 03:45","39720","42547"
"05.01.2020 03:45 - 05.01.2020 04:00","39775","42426"
"05.01.2020 04:00 - 05.01.2020 04:15","39993","42813"
"05.01.2020 04:15 - 05.01.2020 04:30","40102","42863"
"05.01.2020 04:30 - 05.01.2020 04:45","40009","42517"
"05.01.2020 04:45 - 05.01.2020 05:00","39891","42552"
"05.01.2020 05:00 - 05.01.2020 05:15","40161","42637"
"05.01.2020 05:15 - 05.01.2020 05:30","39824","42433"
"05.01.2020 05:30 - 05.01.2020 05:45","39595","42090"
"05.01.2020 05:45 - 05.01.2020 06:00","39573","41612"
"05.01.2020 06:00 - 05.01.2020 06:15","39513","41210"
"05.01.2020 06:15 - 05.01.2020 06:30","39182","41059"
"05.01.2020 06:30 - 05.01.2020 06:45","39272","41247"
"05.01.2020 06:45 - 05.01.2020 07:00","39656","41712"
"05.01.2020 07:00 - 05.01.2020 07:15","40424","42229"
"05.01.2020 07:15 - 05.01.2020 07:30","40827","42594"
"05.01.2020 07:30 - 05.01.2020 07:45","41542","42582"
"05.01.2020 07:45 - 05.01.2020 08:00","42195","43449"
"05.01.2020 08:00 - 05.01.2020 08:15","42690","43959"
"05.01.2020 08:15 - 05.01.2020 08:30","43365","44468"
"05.01.2020 08:30 - 05.01.2020 08:45","43936","45261"
"05.01.2020 08:45 - 05.01.2020 09:00","44444","46049"
"05.01.2020 09:00 - 05.01.2020 09:15","45317","47055"
"05.01.2020 09:15 - 05.01.2020 09:30","46250","47809"
"05.01.2020 09:30 - 05.01.2020 09:45","46700","48631"
"05.01.2020 09:45 - 05.01.2020 10:00","47291","49437"
"05.01.2020 10:00 - 05.01.2020 10:15","47712","50054"
"05.01.2020 10:15 - 05.01.2020 10:30","48365","50654"
"05.01.2020 10:30 - 05.01.2020 10:45","48975","51495"
"05.01.2020 10:45 - 05.01.2020 11:00","49377","51955"
"05.01.2020 11:00 - 05.01.2020 11:15","49961","52614"
"05.01.2020 11:15 - 05.01.2020 11:30","50517","53487"
"05.01.2020 11:30 - 05.01.2020 11:45","51225","53890"
"05.01.2020 11:45 - 05.01.2020 12:00","51354","53995"
"05.01.2020 12:00 - 05.01.2020 12:15","51101","54287"
