"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2019 10:30 - 04.01.2019 10:45","61330","69410"
"04.01.2019 10:45 - 04.01.2019 11:00","61494","69674"
"04.01.2019 11:00 - 04.01.2019 11:15","61675","69410"
"04.01.2019 11:15 - 04.01.2019 11:30","61832","69743"
"04.01.2019 11:30 - 04.01.2019 11:45","62194","70015"
"04.01.2019 11:45 - 04.01.2019 12:00","62417","70222"
"04.01.2019 12:00 - 04.01.2019 12:15","61752","70485"
"04.01.2019 12:15 - 04.01.2019 12:30","61971","70268"
"04.01.2019 12:30 - 04.01.2019 12:45","61548","70325"
"04.01.2019 12:45 - 04.01.2019 13:00","61327","70003"
"04.01.2019 13:00 - 04.01.2019 13:15","60905","69824"
"04.01.2019 13:15 - 04.01.2019 13:30","60463","69250"
"04.01.2019 13:30 - 04.01.2019 13:45","59971","68924"
"04.01.2019 13:45 - 04.01.2019 14:00","59281","68236"
"04.01.2019 14:00 - 04.01.2019 14:15","59218","67923"
"04.01.2019 14:15 - 04.01.2019 14:30","58619","67443"
"04.01.2019 14:30 - 04.01.2019 14:45","58677","67033"
"04.01.2019 14:45 - 04.01.2019 15:00","58948","66761"
"04.01.2019 15:00 - 04.01.2019 15:15","59212","66809"
"04.01.2019 15:15 - 04.01.2019 15:30","58608","66556"
"04.01.2019 15:30 - 04.01.2019 15:45","58687","66452"
"04.01.2019 15:45 - 04.01.2019 16:00","58772","66414"
"04.01.2019 16:00 - 04.01.2019 16:15","59381","67214"
"04.01.2019 16:15 - 04.01.2019 16:30","59956","67511"
"04.01.2019 16:30 - 04.01.2019 16:45","60462","68107"
"04.01.2019 16:45 - 04.01.2019 17:00","61163","68756"
"04.01.2019 17:00 - 04.01.2019 17:15","62186","69649"
"04.01.2019 17:15 - 04.01.2019 17:30","62733","70009"
"04.01.2019 17:30 - 04.01.2019 17:45","62865","70200"
"04.01.2019 17:45 - 04.01.2019 18:00","62938","70177"
"04.01.2019 18:00 - 04.01.2019 18:15","62542","69829"
"04.01.2019 18:15 - 04.01.2019 18:30","62549","69472"
"04.01.2019 18:30 - 04.01.2019 18:45","62390","69168"
"04.01.2019 18:45 - 04.01.2019 19:00","61994","68766"
"04.01.2019 19:00 - 04.01.2019 19:15","61457","68391"
"04.01.2019 19:15 - 04.01.2019 19:30","60634","67429"
"04.01.2019 19:30 - 04.01.2019 19:45","60014","67078"
"04.01.2019 19:45 - 04.01.2019 20:00","59370","66271"
"04.01.2019 20:00 - 04.01.2019 20:15","58283","64653"
"04.01.2019 20:15 - 04.01.2019 20:30","56925","63645"
"04.01.2019 20:30 - 04.01.2019 20:45","56343","63138"
"04.01.2019 20:45 - 04.01.2019 21:00","55724","61946"
"04.01.2019 21:00 - 04.01.2019 21:15","54770","61086"
"04.01.2019 21:15 - 04.01.2019 21:30","54240","60551"
"04.01.2019 21:30 - 04.01.2019 21:45","54303","60260"
"04.01.2019 21:45 - 04.01.2019 22:00","53347","59474"
"04.01.2019 22:00 - 04.01.2019 22:15","53492","59457"
"04.01.2019 22:15 - 04.01.2019 22:30","52485","59059"
"04.01.2019 22:30 - 04.01.2019 22:45","51860","58149"
"04.01.2019 22:45 - 04.01.2019 23:00","50768","57274"
"04.01.2019 23:00 - 04.01.2019 23:15","49717","55806"
"04.01.2019 23:15 - 04.01.2019 23:30","48633","54948"
"04.01.2019 23:30 - 04.01.2019 23:45","47655","53974"
"04.01.2019 23:45 - 05.01.2019 00:00","46776","53070"
"05.01.2019 00:00 - 05.01.2019 00:15","47361","52404"
"05.01.2019 00:15 - 05.01.2019 00:30","47779","51893"
"05.01.2019 00:30 - 05.01.2019 00:45","47229","51520"
"05.01.2019 00:45 - 05.01.2019 01:00","46691","50684"
"05.01.2019 01:00 - 05.01.2019 01:15","46132","50122"
"05.01.2019 01:15 - 05.01.2019 01:30","45373","49286"
"05.01.2019 01:30 - 05.01.2019 01:45","45487","49075"
"05.01.2019 01:45 - 05.01.2019 02:00","45220","48565"
"05.01.2019 02:00 - 05.01.2019 02:15","44786","48302"
"05.01.2019 02:15 - 05.01.2019 02:30","44423","47798"
"05.01.2019 02:30 - 05.01.2019 02:45","44820","47954"
"05.01.2019 02:45 - 05.01.2019 03:00","44844","47707"
"05.01.2019 03:00 - 05.01.2019 03:15","44477","47619"
"05.01.2019 03:15 - 05.01.2019 03:30","44540","47365"
"05.01.2019 03:30 - 05.01.2019 03:45","44660","47417"
"05.01.2019 03:45 - 05.01.2019 04:00","44724","47467"
"05.01.2019 04:00 - 05.01.2019 04:15","44909","47623"
"05.01.2019 04:15 - 05.01.2019 04:30","44884","47510"
"05.01.2019 04:30 - 05.01.2019 04:45","45197","47531"
"05.01.2019 04:45 - 05.01.2019 05:00","45024","47515"
"05.01.2019 05:00 - 05.01.2019 05:15","45188","47651"
"05.01.2019 05:15 - 05.01.2019 05:30","44460","47624"
"05.01.2019 05:30 - 05.01.2019 05:45","44675","47596"
"05.01.2019 05:45 - 05.01.2019 06:00","44529","47585"
"05.01.2019 06:00 - 05.01.2019 06:15","44124","47676"
"05.01.2019 06:15 - 05.01.2019 06:30","44769","47997"
"05.01.2019 06:30 - 05.01.2019 06:45","45252","48524"
"05.01.2019 06:45 - 05.01.2019 07:00","45843","48933"
"05.01.2019 07:00 - 05.01.2019 07:15","46549","49851"
"05.01.2019 07:15 - 05.01.2019 07:30","47371","50511"
"05.01.2019 07:30 - 05.01.2019 07:45","49597","50912"
"05.01.2019 07:45 - 05.01.2019 08:00","51273","51768"
"05.01.2019 08:00 - 05.01.2019 08:15","52648","53238"
"05.01.2019 08:15 - 05.01.2019 08:30","53508","54249"
"05.01.2019 08:30 - 05.01.2019 08:45","54564","54464"
"05.01.2019 08:45 - 05.01.2019 09:00","55096","55271"
"05.01.2019 09:00 - 05.01.2019 09:15","56334","56576"
"05.01.2019 09:15 - 05.01.2019 09:30","57980","57108"
"05.01.2019 09:30 - 05.01.2019 09:45","57757","58080"
"05.01.2019 09:45 - 05.01.2019 10:00","57796","58604"
"05.01.2019 10:00 - 05.01.2019 10:15","58429","59150"
"05.01.2019 10:15 - 05.01.2019 10:30","59287","59543"
"05.01.2019 10:30 - 05.01.2019 10:45","58496","59831"
"05.01.2019 10:45 - 05.01.2019 11:00","58707","60320"
"05.01.2019 11:00 - 05.01.2019 11:15","59486","60726"
"05.01.2019 11:15 - 05.01.2019 11:30","59192","60802"
"05.01.2019 11:30 - 05.01.2019 11:45","59870","61188"
"05.01.2019 11:45 - 05.01.2019 12:00","59992","60963"
"05.01.2019 12:00 - 05.01.2019 12:15","59046","61147"
