"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2021 11:00 - 02.01.2021 11:15","53699","52853"
"02.01.2021 11:15 - 02.01.2021 11:30","54289","53496"
"02.01.2021 11:30 - 02.01.2021 11:45","54410","53887"
"02.01.2021 11:45 - 02.01.2021 12:00","54424","54104"
"02.01.2021 12:00 - 02.01.2021 12:15","54118","54589"
"02.01.2021 12:15 - 02.01.2021 12:30","54028","54577"
"02.01.2021 12:30 - 02.01.2021 12:45","53633","54554"
"02.01.2021 12:45 - 02.01.2021 13:00","53403","54304"
"02.01.2021 13:00 - 02.01.2021 13:15","53102","54076"
"02.01.2021 13:15 - 02.01.2021 13:30","52849","53743"
"02.01.2021 13:30 - 02.01.2021 13:45","52835","53485"
"02.01.2021 13:45 - 02.01.2021 14:00","52136","53182"
"02.01.2021 14:00 - 02.01.2021 14:15","52057","52898"
"02.01.2021 14:15 - 02.01.2021 14:30","52046","52699"
"02.01.2021 14:30 - 02.01.2021 14:45","51869","52650"
"02.01.2021 14:45 - 02.01.2021 15:00","51761","52431"
"02.01.2021 15:00 - 02.01.2021 15:15","51765","52549"
"02.01.2021 15:15 - 02.01.2021 15:30","51674","52669"
"02.01.2021 15:30 - 02.01.2021 15:45","51897","52829"
"02.01.2021 15:45 - 02.01.2021 16:00","52114","52837"
"02.01.2021 16:00 - 02.01.2021 16:15","52422","53407"
"02.01.2021 16:15 - 02.01.2021 16:30","52949","53917"
"02.01.2021 16:30 - 02.01.2021 16:45","53646","54881"
"02.01.2021 16:45 - 02.01.2021 17:00","54554","55799"
"02.01.2021 17:00 - 02.01.2021 17:15","55583","56880"
"02.01.2021 17:15 - 02.01.2021 17:30","56152","57385"
"02.01.2021 17:30 - 02.01.2021 17:45","56591","58024"
"02.01.2021 17:45 - 02.01.2021 18:00","57003","58241"
"02.01.2021 18:00 - 02.01.2021 18:15","57150","58395"
"02.01.2021 18:15 - 02.01.2021 18:30","56617","58219"
"02.01.2021 18:30 - 02.01.2021 18:45","56444","57943"
"02.01.2021 18:45 - 02.01.2021 19:00","55990","57519"
"02.01.2021 19:00 - 02.01.2021 19:15","55705","56940"
"02.01.2021 19:15 - 02.01.2021 19:30","55133","56461"
"02.01.2021 19:30 - 02.01.2021 19:45","54460","55861"
"02.01.2021 19:45 - 02.01.2021 20:00","53975","55114"
"02.01.2021 20:00 - 02.01.2021 20:15","53187","54020"
"02.01.2021 20:15 - 02.01.2021 20:30","51861","53020"
"02.01.2021 20:30 - 02.01.2021 20:45","50791","52243"
"02.01.2021 20:45 - 02.01.2021 21:00","50176","51360"
"02.01.2021 21:00 - 02.01.2021 21:15","49889","50939"
"02.01.2021 21:15 - 02.01.2021 21:30","49199","50468"
"02.01.2021 21:30 - 02.01.2021 21:45","48785","50006"
"02.01.2021 21:45 - 02.01.2021 22:00","48422","49723"
"02.01.2021 22:00 - 02.01.2021 22:15","48897","50316"
"02.01.2021 22:15 - 02.01.2021 22:30","48335","49804"
"02.01.2021 22:30 - 02.01.2021 22:45","47729","49098"
"02.01.2021 22:45 - 02.01.2021 23:00","47017","48622"
"02.01.2021 23:00 - 02.01.2021 23:15","46125","48223"
"02.01.2021 23:15 - 02.01.2021 23:30","45511","47637"
"02.01.2021 23:30 - 02.01.2021 23:45","44808","47322"
"02.01.2021 23:45 - 03.01.2021 00:00","44239","46722"
"03.01.2021 00:00 - 03.01.2021 00:15","42897","45465"
"03.01.2021 00:15 - 03.01.2021 00:30","42320","44671"
"03.01.2021 00:30 - 03.01.2021 00:45","41790","44128"
"03.01.2021 00:45 - 03.01.2021 01:00","41428","43626"
"03.01.2021 01:00 - 03.01.2021 01:15","40761","43190"
"03.01.2021 01:15 - 03.01.2021 01:30","40220","42589"
"03.01.2021 01:30 - 03.01.2021 01:45","39668","42121"
"03.01.2021 01:45 - 03.01.2021 02:00","39313","41857"
"03.01.2021 02:00 - 03.01.2021 02:15","39420","41561"
"03.01.2021 02:15 - 03.01.2021 02:30","39270","41325"
"03.01.2021 02:30 - 03.01.2021 02:45","38943","41143"
"03.01.2021 02:45 - 03.01.2021 03:00","38858","41145"
"03.01.2021 03:00 - 03.01.2021 03:15","38836","41221"
"03.01.2021 03:15 - 03.01.2021 03:30","38936","41303"
"03.01.2021 03:30 - 03.01.2021 03:45","38625","41430"
"03.01.2021 03:45 - 03.01.2021 04:00","38758","41446"
"03.01.2021 04:00 - 03.01.2021 04:15","38667","41736"
"03.01.2021 04:15 - 03.01.2021 04:30","38668","41745"
"03.01.2021 04:30 - 03.01.2021 04:45","38597","41871"
"03.01.2021 04:45 - 03.01.2021 05:00","38592","42057"
"03.01.2021 05:00 - 03.01.2021 05:15","38608","42559"
"03.01.2021 05:15 - 03.01.2021 05:30","38271","42430"
"03.01.2021 05:30 - 03.01.2021 05:45","38285","42513"
"03.01.2021 05:45 - 03.01.2021 06:00","37911","42271"
"03.01.2021 06:00 - 03.01.2021 06:15","37691","42060"
"03.01.2021 06:15 - 03.01.2021 06:30","37534","42278"
"03.01.2021 06:30 - 03.01.2021 06:45","37843","42502"
"03.01.2021 06:45 - 03.01.2021 07:00","37761","42786"
"03.01.2021 07:00 - 03.01.2021 07:15","38056","43189"
"03.01.2021 07:15 - 03.01.2021 07:30","38361","43354"
"03.01.2021 07:30 - 03.01.2021 07:45","38754","43821"
"03.01.2021 07:45 - 03.01.2021 08:00","39470","44579"
"03.01.2021 08:00 - 03.01.2021 08:15","40259","45580"
"03.01.2021 08:15 - 03.01.2021 08:30","40738","46420"
"03.01.2021 08:30 - 03.01.2021 08:45","41533","46931"
"03.01.2021 08:45 - 03.01.2021 09:00","42414","47750"
"03.01.2021 09:00 - 03.01.2021 09:15","43176","48811"
"03.01.2021 09:15 - 03.01.2021 09:30","44244","49718"
"03.01.2021 09:30 - 03.01.2021 09:45","44984","50562"
"03.01.2021 09:45 - 03.01.2021 10:00","45365","51178"
"03.01.2021 10:00 - 03.01.2021 10:15","46346","51699"
"03.01.2021 10:15 - 03.01.2021 10:30","47337","52577"
"03.01.2021 10:30 - 03.01.2021 10:45","47767","53224"
"03.01.2021 10:45 - 03.01.2021 11:00","48236","53939"
"03.01.2021 11:00 - 03.01.2021 11:15","48978","55116"
"03.01.2021 11:15 - 03.01.2021 11:30","49882","55895"
"03.01.2021 11:30 - 03.01.2021 11:45","50353","56653"
"03.01.2021 11:45 - 03.01.2021 12:00","50539","56958"
"03.01.2021 12:00 - 03.01.2021 12:15","50748","57030"
"03.01.2021 12:15 - 03.01.2021 12:30","50702","56895"
"03.01.2021 12:30 - 03.01.2021 12:45","50100","56768"
"03.01.2021 12:45 - 03.01.2021 13:00","49639","56504"
"03.01.2021 13:00 - 03.01.2021 13:15","49467","56251"
"03.01.2021 13:15 - 03.01.2021 13:30","49282","56076"
"03.01.2021 13:30 - 03.01.2021 13:45","48884","55776"
"03.01.2021 13:45 - 03.01.2021 14:00","48204","55355"
"03.01.2021 14:00 - 03.01.2021 14:15","47845","54942"
"03.01.2021 14:15 - 03.01.2021 14:30","47595","54666"
"03.01.2021 14:30 - 03.01.2021 14:45","47189","54735"
"03.01.2021 14:45 - 03.01.2021 15:00","47367","54607"
"03.01.2021 15:00 - 03.01.2021 15:15","47087","55072"
"03.01.2021 15:15 - 03.01.2021 15:30","47161","54948"
"03.01.2021 15:30 - 03.01.2021 15:45","47200","55088"
"03.01.2021 15:45 - 03.01.2021 16:00","47371","55041"
"03.01.2021 16:00 - 03.01.2021 16:15","47390","55138"
"03.01.2021 16:15 - 03.01.2021 16:30","47978","55940"
"03.01.2021 16:30 - 03.01.2021 16:45","48890","56787"
"03.01.2021 16:45 - 03.01.2021 17:00","49910","57558"
"03.01.2021 17:00 - 03.01.2021 17:15","50974","58722"
"03.01.2021 17:15 - 03.01.2021 17:30","51756","59618"
"03.01.2021 17:30 - 03.01.2021 17:45","52602","59840"
"03.01.2021 17:45 - 03.01.2021 18:00","52858","59759"
"03.01.2021 18:00 - 03.01.2021 18:15","53380","59800"
"03.01.2021 18:15 - 03.01.2021 18:30","53111","59723"
"03.01.2021 18:30 - 03.01.2021 18:45","53049","59259"
"03.01.2021 18:45 - 03.01.2021 19:00","52811","58892"
"03.01.2021 19:00 - 03.01.2021 19:15","52758","58310"
"03.01.2021 19:15 - 03.01.2021 19:30","52196","57779"
"03.01.2021 19:30 - 03.01.2021 19:45","51903","57160"
"03.01.2021 19:45 - 03.01.2021 20:00","51476","56716"
"03.01.2021 20:00 - 03.01.2021 20:15","51212","56347"
"03.01.2021 20:15 - 03.01.2021 20:30","50353","55537"
"03.01.2021 20:30 - 03.01.2021 20:45","49596","54778"
"03.01.2021 20:45 - 03.01.2021 21:00","48884","53840"
"03.01.2021 21:00 - 03.01.2021 21:15","48608","53932"
"03.01.2021 21:15 - 03.01.2021 21:30","48252","53640"
"03.01.2021 21:30 - 03.01.2021 21:45","47675","53345"
"03.01.2021 21:45 - 03.01.2021 22:00","47996","53171"
"03.01.2021 22:00 - 03.01.2021 22:15","48571","53483"
"03.01.2021 22:15 - 03.01.2021 22:30","48152","53149"
"03.01.2021 22:30 - 03.01.2021 22:45","47587","52259"
"03.01.2021 22:45 - 03.01.2021 23:00","46699","51439"
"03.01.2021 23:00 - 03.01.2021 23:15","46098","51284"
"03.01.2021 23:15 - 03.01.2021 23:30","45389","50571"
"03.01.2021 23:30 - 03.01.2021 23:45","44563","49688"
"03.01.2021 23:45 - 04.01.2021 00:00","44061","49104"
"04.01.2021 00:00 - 04.01.2021 00:15","44383","48370"
"04.01.2021 00:15 - 04.01.2021 00:30","43581","47906"
"04.01.2021 00:30 - 04.01.2021 00:45","43247","47384"
"04.01.2021 00:45 - 04.01.2021 01:00","42774","47000"
"04.01.2021 01:00 - 04.01.2021 01:15","42058","46421"
"04.01.2021 01:15 - 04.01.2021 01:30","41517","45987"
"04.01.2021 01:30 - 04.01.2021 01:45","41353","45902"
"04.01.2021 01:45 - 04.01.2021 02:00","40952","45714"
"04.01.2021 02:00 - 04.01.2021 02:15","40834","45840"
"04.01.2021 02:15 - 04.01.2021 02:30","40777","45794"
"04.01.2021 02:30 - 04.01.2021 02:45","40730","45801"
"04.01.2021 02:45 - 04.01.2021 03:00","40618","45766"
"04.01.2021 03:00 - 04.01.2021 03:15","40639","45693"
"04.01.2021 03:15 - 04.01.2021 03:30","41100","45725"
"04.01.2021 03:30 - 04.01.2021 03:45","40884","45802"
"04.01.2021 03:45 - 04.01.2021 04:00","41219","45959"
"04.01.2021 04:00 - 04.01.2021 04:15","41865","46467"
"04.01.2021 04:15 - 04.01.2021 04:30","42240","46733"
"04.01.2021 04:30 - 04.01.2021 04:45","42549","47247"
"04.01.2021 04:45 - 04.01.2021 05:00","42848","47661"
"04.01.2021 05:00 - 04.01.2021 05:15","43291","48469"
"04.01.2021 05:15 - 04.01.2021 05:30","43898","49063"
"04.01.2021 05:30 - 04.01.2021 05:45","44561","49906"
"04.01.2021 05:45 - 04.01.2021 06:00","45307","51007"
"04.01.2021 06:00 - 04.01.2021 06:15","46883","52967"
"04.01.2021 06:15 - 04.01.2021 06:30","48462","54463"
"04.01.2021 06:30 - 04.01.2021 06:45","49335","55931"
"04.01.2021 06:45 - 04.01.2021 07:00","50213","57584"
"04.01.2021 07:00 - 04.01.2021 07:15","51274","60062"
"04.01.2021 07:15 - 04.01.2021 07:30","52472","61065"
"04.01.2021 07:30 - 04.01.2021 07:45","53763","61988"
"04.01.2021 07:45 - 04.01.2021 08:00","54651","62809"
"04.01.2021 08:00 - 04.01.2021 08:15","56000","64182"
"04.01.2021 08:15 - 04.01.2021 08:30","56894","64771"
"04.01.2021 08:30 - 04.01.2021 08:45","57120","65339"
"04.01.2021 08:45 - 04.01.2021 09:00","57554","66036"
"04.01.2021 09:00 - 04.01.2021 09:15","57976","66493"
"04.01.2021 09:15 - 04.01.2021 09:30","58653","66942"
"04.01.2021 09:30 - 04.01.2021 09:45","59150","67435"
"04.01.2021 09:45 - 04.01.2021 10:00","59486","67807"
"04.01.2021 10:00 - 04.01.2021 10:15","59856","67984"
"04.01.2021 10:15 - 04.01.2021 10:30","60160","68361"
"04.01.2021 10:30 - 04.01.2021 10:45","60806","68656"
"04.01.2021 10:45 - 04.01.2021 11:00","61654","69082"
"04.01.2021 11:00 - 04.01.2021 11:15","61858","69648"
"04.01.2021 11:15 - 04.01.2021 11:30","62359","70184"
"04.01.2021 11:30 - 04.01.2021 11:45","62795","70569"
"04.01.2021 11:45 - 04.01.2021 12:00","62677","70844"
"04.01.2021 12:00 - 04.01.2021 12:15","62309","71048"
"04.01.2021 12:15 - 04.01.2021 12:30","62368","71040"
"04.01.2021 12:30 - 04.01.2021 12:45","62307","71037"
"04.01.2021 12:45 - 04.01.2021 13:00","62171","70770"
"04.01.2021 13:00 - 04.01.2021 13:15","62066","70685"
"04.01.2021 13:15 - 04.01.2021 13:30","61737","70518"
"04.01.2021 13:30 - 04.01.2021 13:45","61239","70238"
"04.01.2021 13:45 - 04.01.2021 14:00","60543","69563"
"04.01.2021 14:00 - 04.01.2021 14:15","60470","69590"
"04.01.2021 14:15 - 04.01.2021 14:30","60227","69288"
"04.01.2021 14:30 - 04.01.2021 14:45","60201","69140"
"04.01.2021 14:45 - 04.01.2021 15:00","59921","68959"
"04.01.2021 15:00 - 04.01.2021 15:15","59859","69362"
"04.01.2021 15:15 - 04.01.2021 15:30","59322","69109"
"04.01.2021 15:30 - 04.01.2021 15:45","59361","68920"
"04.01.2021 15:45 - 04.01.2021 16:00","59228","68661"
"04.01.2021 16:00 - 04.01.2021 16:15","59288","69327"
"04.01.2021 16:15 - 04.01.2021 16:30","59724","69464"
"04.01.2021 16:30 - 04.01.2021 16:45","60183","69993"
"04.01.2021 16:45 - 04.01.2021 17:00","60791","70775"
"04.01.2021 17:00 - 04.01.2021 17:15","61258","71337"
"04.01.2021 17:15 - 04.01.2021 17:30","61976","71716"
"04.01.2021 17:30 - 04.01.2021 17:45","62845","71947"
"04.01.2021 17:45 - 04.01.2021 18:00","63240","72097"
"04.01.2021 18:00 - 04.01.2021 18:15","63011","71842"
"04.01.2021 18:15 - 04.01.2021 18:30","63137","71444"
"04.01.2021 18:30 - 04.01.2021 18:45","62847","71239"
"04.01.2021 18:45 - 04.01.2021 19:00","62989","70676"
"04.01.2021 19:00 - 04.01.2021 19:15","62448","70174"
"04.01.2021 19:15 - 04.01.2021 19:30","61528","69661"
"04.01.2021 19:30 - 04.01.2021 19:45","61252","69163"
"04.01.2021 19:45 - 04.01.2021 20:00","60617","68318"
"04.01.2021 20:00 - 04.01.2021 20:15","59500","67335"
"04.01.2021 20:15 - 04.01.2021 20:30","58149","66349"
"04.01.2021 20:30 - 04.01.2021 20:45","57279","65338"
"04.01.2021 20:45 - 04.01.2021 21:00","56487","64362"
"04.01.2021 21:00 - 04.01.2021 21:15","56024","63717"
"04.01.2021 21:15 - 04.01.2021 21:30","55749","62975"
"04.01.2021 21:30 - 04.01.2021 21:45","54811","62229"
"04.01.2021 21:45 - 04.01.2021 22:00","54479","61387"
"04.01.2021 22:00 - 04.01.2021 22:15","54611","61280"
"04.01.2021 22:15 - 04.01.2021 22:30","54002","60640"
"04.01.2021 22:30 - 04.01.2021 22:45","53402","59465"
"04.01.2021 22:45 - 04.01.2021 23:00","52463","58529"
"04.01.2021 23:00 - 04.01.2021 23:15","51432","57508"
"04.01.2021 23:15 - 04.01.2021 23:30","50611","56767"
"04.01.2021 23:30 - 04.01.2021 23:45","49873","56145"
"04.01.2021 23:45 - 05.01.2021 00:00","49416","55493"
"05.01.2021 00:00 - 05.01.2021 00:15","46083","53659"
"05.01.2021 00:15 - 05.01.2021 00:30","45399","52603"
"05.01.2021 00:30 - 05.01.2021 00:45","45052","52017"
"05.01.2021 00:45 - 05.01.2021 01:00","44535","51677"
"05.01.2021 01:00 - 05.01.2021 01:15","43905","51487"
"05.01.2021 01:15 - 05.01.2021 01:30","43360","51229"
"05.01.2021 01:30 - 05.01.2021 01:45","42979","50858"
"05.01.2021 01:45 - 05.01.2021 02:00","42891","50492"
"05.01.2021 02:00 - 05.01.2021 02:15","42947","50163"
"05.01.2021 02:15 - 05.01.2021 02:30","42909","49968"
"05.01.2021 02:30 - 05.01.2021 02:45","42964","49759"
"05.01.2021 02:45 - 05.01.2021 03:00","43077","49995"
"05.01.2021 03:00 - 05.01.2021 03:15","43038","50217"
"05.01.2021 03:15 - 05.01.2021 03:30","43601","50221"
"05.01.2021 03:30 - 05.01.2021 03:45","43576","50335"
"05.01.2021 03:45 - 05.01.2021 04:00","43677","50425"
"05.01.2021 04:00 - 05.01.2021 04:15","44018","50738"
"05.01.2021 04:15 - 05.01.2021 04:30","44405","50837"
"05.01.2021 04:30 - 05.01.2021 04:45","44638","51082"
"05.01.2021 04:45 - 05.01.2021 05:00","45105","51260"
"05.01.2021 05:00 - 05.01.2021 05:15","45788","52642"
"05.01.2021 05:15 - 05.01.2021 05:30","46292","52996"
"05.01.2021 05:30 - 05.01.2021 05:45","46921","53572"
"05.01.2021 05:45 - 05.01.2021 06:00","47772","54822"
"05.01.2021 06:00 - 05.01.2021 06:15","49758","57074"
"05.01.2021 06:15 - 05.01.2021 06:30","51368","58475"
"05.01.2021 06:30 - 05.01.2021 06:45","52488","59483"
"05.01.2021 06:45 - 05.01.2021 07:00","53800","60598"
"05.01.2021 07:00 - 05.01.2021 07:15","55263","62559"
"05.01.2021 07:15 - 05.01.2021 07:30","54727","63351"
"05.01.2021 07:30 - 05.01.2021 07:45","55647","64342"
"05.01.2021 07:45 - 05.01.2021 08:00","56436","65523"
"05.01.2021 08:00 - 05.01.2021 08:15","57540","66384"
"05.01.2021 08:15 - 05.01.2021 08:30","57879","66980"
"05.01.2021 08:30 - 05.01.2021 08:45","57963","67330"
"05.01.2021 08:45 - 05.01.2021 09:00","58533","67659"
"05.01.2021 09:00 - 05.01.2021 09:15","58538","68201"
"05.01.2021 09:15 - 05.01.2021 09:30","59254","68660"
"05.01.2021 09:30 - 05.01.2021 09:45","59962","69006"
"05.01.2021 09:45 - 05.01.2021 10:00","60407","69120"
"05.01.2021 10:00 - 05.01.2021 10:15","60576","69133"
"05.01.2021 10:15 - 05.01.2021 10:30","60917","69759"
"05.01.2021 10:30 - 05.01.2021 10:45","61190","69984"
"05.01.2021 10:45 - 05.01.2021 11:00","61624","70286"
"05.01.2021 11:00 - 05.01.2021 11:15","61923","70657"
"05.01.2021 11:15 - 05.01.2021 11:30","62246","71197"
"05.01.2021 11:30 - 05.01.2021 11:45","62322","71683"
"05.01.2021 11:45 - 05.01.2021 12:00","62522","71841"
"05.01.2021 12:00 - 05.01.2021 12:15","62553","71812"
